lambda = 1.0292696094182796e-05, training accuracy = 58.96%, validation accuracy = 51.44%
lambda = 0.00484118943180478, training accuracy = 56.54%, validation accuracy = 51.28%
lambda = 0.005006396629274284, training accuracy = 56.42%, validation accuracy = 50.58%
lambda = 0.005305227627438059, training accuracy = 56.75%, validation accuracy = 52.18%
lambda = 0.005429447478335054, training accuracy = 56.42%, validation accuracy = 51.54%
lambda = 0.008568930189622192, training accuracy = 55.00%, validation accuracy = 50.42%
lambda = 0.008575471289603436, training accuracy = 55.00%, validation accuracy = 50.54%
lambda = 0.008770630063110957, training accuracy = 54.89%, validation accuracy = 50.96%
lambda = 0.00877558295955285, training accuracy = 54.90%, validation accuracy = 50.22%
lambda = 0.009668324380921495, training accuracy = 54.55%, validation accuracy = 50.16%
lambda = 0.010095674630884755, training accuracy = 54.16%, validation accuracy = 50.62%
lambda = 0.015517028432095244, training accuracy = 52.38%, validation accuracy = 49.14%
lambda = 0.017191857798250013, training accuracy = 51.69%, validation accuracy = 49.02%
lambda = 0.019682588215251512, training accuracy = 50.93%, validation accuracy = 48.24%
lambda = 0.02069935437246972, training accuracy = 50.64%, validation accuracy = 47.58%
lambda = 0.020742430208025898, training accuracy = 50.64%, validation accuracy = 48.20%
lambda = 0.023273121124020604, training accuracy = 50.01%, validation accuracy = 47.72%
lambda = 0.026399731589675752, training accuracy = 49.04%, validation accuracy = 46.84%
lambda = 0.027162000300857612, training accuracy = 49.24%, validation accuracy = 47.44%
lambda = 0.028476406659177386, training accuracy = 48.75%, validation accuracy = 46.52%
lambda = 0.028512197003283318, training accuracy = 48.36%, validation accuracy = 46.68%
lambda = 0.02994787727423229, training accuracy = 47.94%, validation accuracy = 46.04%
lambda = 0.030315161760531728, training accuracy = 48.41%, validation accuracy = 46.50%
lambda = 0.03128209588984009, training accuracy = 48.02%, validation accuracy = 46.06%
lambda = 0.035346620466034914, training accuracy = 47.12%, validation accuracy = 45.76%
lambda = 0.03732782323559753, training accuracy = 46.75%, validation accuracy = 45.14%
lambda = 0.04877225853172406, training accuracy = 44.82%, validation accuracy = 43.24%
lambda = 0.04931566968829442, training accuracy = 44.71%, validation accuracy = 43.52%
lambda = 0.05760386304014643, training accuracy = 43.47%, validation accuracy = 42.12%
lambda = 0.06148883963246871, training accuracy = 43.00%, validation accuracy = 42.34%
lambda = 0.061579819722613824, training accuracy = 42.90%, validation accuracy = 42.08%
lambda = 0.06699690855536884, training accuracy = 42.09%, validation accuracy = 40.98%
lambda = 0.07183183826642045, training accuracy = 41.60%, validation accuracy = 40.28%
lambda = 0.08047598428884666, training accuracy = 40.66%, validation accuracy = 39.40%
lambda = 0.08068616365861274, training accuracy = 40.77%, validation accuracy = 39.78%
lambda = 0.08148489203002017, training accuracy = 40.54%, validation accuracy = 39.72%
lambda = 0.09006130874490592, training accuracy = 39.75%, validation accuracy = 38.68%
lambda = 0.09311870292608082, training accuracy = 39.43%, validation accuracy = 38.50%
